N. riga,Codice Prodotto,Conformità alle norme RoHS?,Note,Q.tà,Codice produttore,Produttore / Descrizione,Disponilità,Prezzo unitario,Prezzo prodotto,Prezzo scontato
1,1831945,YES,,30.0,"SPX1117M3-L-5-0","Tensione di Ingresso Min:2.9V; Tensione di Ingresso Max:20V; Tensione di Uscita Nom.:5V; Corrente di Uscita:800mA; Tensione Dropout Vdo:1.1V; Modello Case Regolatore LDO:SOT-223; No. di Pin:3",304,0.2330,6.99,,
2,2251352,YES,,20.0,"TSOP35536TR","Frequenza Portante:36kHz; Intervallo di Trasmissione:45m; Direttività:50°; Tensione di Alimentazione Min:2.5V; Tensione di Alimentazione Max:5.5V; Corr; Available until stocks are exhausted",61 (A disposizione fino ad esaurimento scorte),0.2690,5.38,,
3,1716707,YES,,30.0,"OFL-3102","Corrente Diretta If(AV):20mA; Tempo di Salita:-; Tempo di Discesa tf:-; Angolo di Visualizzazione:30°; Tensione Diretta VF Max:1.25V; Temperatura di Esercizio Min:-25°C; Temperatur",17844,0.0856,2.57,,
4,2470359,YES,,20.0,"CSTCE16M0V53Z-R0","Frequenza:16MHz; Tolleranza di Frequenza:± 0,5%; Stabilità in Frequenza:± 0,3%; Impedenza di Risonanza:-; Montaggio Oscillatore:SMD; No. di Pin:3; Temperatura di Esercizio Min:-40°C; Te",2700,0.3080,6.16,,
5,2443270,YES,,20.0,"CSTCE8M00G55-R0","Frequenza:8MHz; Tolleranza di Frequenza:± 0,5%; Stabilità in Frequenza:-; Impedenza di Risonanza:40ohm; Montaggio Oscillatore:SMD; No. di Pin:3; Temperatura di Esercizio Min:-20°C; Temperatura di",3784,0.2980,5.96,,

,,,,,,,Subtotale,27.06
,,,,,,,Totale merci,27.06
,,,,,,,Spedizione  base,0.00
,,,,,,,IVA,Unknown
,,,,,,,Totale,27.06
